index,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
140,1.270068,1.752902,MGC,0.494049,0.238972,0.627475,0.418894
141,1.451476,1.809924,MGC,0.486523,0.229160,0.706177,0.414762
142,1.266090,1.491480,MGC,0.808374,0.418424,1.023474,0.624070
143,1.500352,1.549730,MGC,0.368722,0.321974,0.553213,0.498973
144,1.170973,1.469934,MGC,0.542793,0.303118,0.635596,0.445563
145,1.416960,1.524349,MGC,0.366549,0.355826,0.519386,0.542402
146,1.227364,1.980607,MGC,0.720487,0.254320,0.884299,0.503709
147,1.087658,1.462159,MGC,1.388021,0.267404,1.509692,0.390988
148,1.365276,1.451088,MGC,0.504889,0.433224,0.689312,0.628646
149,1.203144,1.446384,MGC,0.881198,0.524943,1.060208,0.759270
150,1.231612,2.067033,MGC,0.811260,0.228933,0.999157,0.473212
151,1.569699,2.021880,MGC,0.429511,0.232682,0.674204,0.470456
152,1.271341,4.480858,MGC,0.582994,0.080881,0.741185,0.362416
153,1.075688,1.374455,MGC,1.016384,0.299784,1.093312,0.412039
154,1.101458,1.408898,MGC,1.151056,0.440828,1.267839,0.621081
155,1.279686,1.217955,HWC,0.787106,0.384901,1.007248,0.468793
156,1.434502,1.651289,MGC,0.581915,0.320452,0.834759,0.529159
157,1.141714,1.707225,MGC,0.764969,0.321344,0.873375,0.548606
158,1.231404,1.116606,HWC,0.597224,0.517048,0.735424,0.577339
159,1.117614,1.269785,MGC,1.435716,0.526194,1.604577,0.668153
160,1.384631,1.709131,MGC,0.577592,0.288697,0.799753,0.493421
161,1.385657,1.991591,MGC,0.376798,0.243936,0.522113,0.485821
162,1.396063,1.593020,MGC,0.535505,0.354499,0.747598,0.564724
163,1.226177,1.627317,MGC,0.515784,0.367880,0.632443,0.598658
164,1.174680,1.338619,MGC,0.789410,0.538958,0.927304,0.721460
165,1.552205,1.306719,HWC,0.329595,0.451591,0.511599,0.590102
166,1.259639,1.275790,MGC,0.629083,0.697906,0.792418,0.890381
167,1.024448,1.357110,MGC,1.002916,0.491063,1.027436,0.666426
168,1.166382,1.803576,MGC,0.554535,0.203587,0.646800,0.367185
169,1.217755,2.336916,MGC,0.685294,0.244563,0.834520,0.571524
170,1.175449,1.623637,MGC,1.091381,0.294270,1.282863,0.477787
171,1.303818,2.551355,MGC,0.569749,0.118653,0.742849,0.302725
172,1.203112,1.996323,MGC,0.834281,0.238898,1.003734,0.476918
173,1.386123,1.704678,MGC,0.437146,0.329370,0.605937,0.561469
174,1.323935,1.551575,MGC,0.441871,0.518261,0.585008,0.804121
175,1.336152,1.615721,MGC,0.462974,0.213237,0.618604,0.344532
176,1.228836,1.421723,MGC,0.585002,0.422956,0.718872,0.601326
177,1.264318,1.387538,MGC,0.579323,0.284808,0.732448,0.395182
178,1.210722,1.623032,MGC,0.755600,0.329909,0.914821,0.535453
179,1.245673,1.625180,MGC,0.462394,0.244541,0.575992,0.397423
180,1.189989,1.311524,MGC,0.627512,0.577116,0.746733,0.756902
181,1.126218,1.397765,MGC,0.903785,0.477710,1.017859,0.667726
182,1.215538,1.390396,MGC,0.643991,0.550112,0.782796,0.764874
183,1.343479,1.655619,MGC,0.617630,0.298811,0.829773,0.494718
184,1.430715,1.948762,MGC,0.460331,0.222889,0.658602,0.434358
185,1.348496,1.695467,MGC,0.577424,0.317058,0.778654,0.537561
186,1.337588,1.564680,MGC,0.568643,0.417138,0.760610,0.652687
187,1.304806,1.552227,MGC,0.567731,0.308192,0.740779,0.478384
188,1.176938,1.434278,MGC,1.123497,0.383590,1.322286,0.550174
189,1.169382,1.233843,MGC,0.978015,0.554011,1.143673,0.683563
