index,source_line_no,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
434,1998,1.545509,2.057395,MGC,0.620799,0.258679,0.959450,0.532205
435,2002,1.505190,1.884111,MGC,0.559286,0.341912,0.841831,0.644201
436,2005,1.264768,1.419550,MGC,1.062529,0.746554,1.343853,1.059771
437,2009,1.385779,1.622857,MGC,0.751150,0.452842,1.040928,0.734898
438,2015,1.238604,2.277998,MGC,1.015812,0.146446,1.258188,0.333603
439,2025,1.680846,2.310214,MGC,0.485919,0.195351,0.816756,0.451303
440,2028,1.678134,2.290968,MGC,0.432528,0.206154,0.725840,0.472293
441,2032,1.285350,1.903968,MGC,1.115654,0.377964,1.434006,0.719632
442,2033,1.383662,1.493514,MGC,0.892864,0.615224,1.235422,0.918845
443,2042,1.386753,1.670014,MGC,0.505255,0.363693,0.700663,0.607373
444,2044,1.306339,2.400036,MGC,0.815731,0.226555,1.065622,0.543740
445,2045,1.290399,2.384198,MGC,0.798174,0.257099,1.029963,0.612975
446,2053,1.318498,1.554260,MGC,0.794508,0.555181,1.047558,0.862896
447,2054,1.564507,2.142094,MGC,0.778950,0.196540,1.218672,0.421007
448,2057,1.366819,2.326069,MGC,0.739843,0.254576,1.011231,0.592162
449,2064,1.322620,1.986962,MGC,0.756398,0.300870,1.000427,0.597818
450,2069,1.914070,1.909326,HWC,0.341584,0.287394,0.653816,0.548729
451,2083,1.891118,2.250286,MGC,0.417475,0.302829,0.789495,0.681453
452,2091,1.438134,2.124414,MGC,0.692868,0.454342,0.996438,0.965210
453,2094,1.637515,1.328901,HWC,0.581825,0.530582,0.952747,0.705091
454,2104,1.401241,1.623206,MGC,0.694044,0.402423,0.972523,0.653216
455,2115,1.352083,2.133899,MGC,0.593040,0.232607,0.801839,0.496360
456,2123,1.347786,2.359420,MGC,0.682284,0.158322,0.919573,0.373549
457,2127,1.523681,2.097148,MGC,0.626115,0.319525,0.953999,0.670092
458,2133,1.470030,2.087996,MGC,0.862209,0.329887,1.267473,0.688803
