line_num,human_npr,lm_npr,winner,human_logrank,lm_logrank,human_perturbed_logrank,lm_perturbed_logrank
1609,1.317302,1.488502,MGC,0.554539,0.822340,0.730495,1.224055
161,1.143291,2.287313,MGC,0.953674,0.155560,1.090326,0.355814
1613,1.852622,1.755409,HWC,0.240101,0.327364,0.444816,0.574658
1615,1.187431,2.497476,MGC,0.865214,0.124133,1.027382,0.310019
1616,1.354297,1.607998,MGC,0.516663,0.418882,0.699715,0.673562
1619,1.266462,2.043191,MGC,0.700570,0.119250,0.887246,0.243650
162,1.619764,1.612563,HWC,0.367637,0.427781,0.595485,0.689824
1620,1.336514,1.499943,MGC,0.654039,0.507094,0.874133,0.760612
1622,1.224535,1.216015,HWC,0.714881,0.870445,0.875397,1.058474
1623,1.257541,1.175428,HWC,0.710708,1.126934,0.893744,1.324630
1624,1.845800,1.993941,MGC,0.256901,0.315939,0.474188,0.629964
163,2.269776,2.299654,MGC,0.191632,0.195557,0.434962,0.449714
1632,1.525314,1.545300,MGC,0.466598,0.472922,0.711709,0.730806
1633,1.524167,1.425717,HWC,0.361592,0.517974,0.551126,0.738484
1637,1.476059,2.269855,MGC,0.305003,0.123506,0.450203,0.280340
1639,1.375355,1.531975,MGC,0.639680,0.522765,0.879788,0.800863
164,1.220635,1.276089,MGC,0.749443,0.755060,0.914796,0.963524
1642,1.564897,1.525153,HWC,0.402080,0.554496,0.629214,0.845692
1644,1.448498,1.509525,MGC,0.319500,0.290190,0.462796,0.438049
1646,1.676698,1.883055,MGC,0.391445,0.326797,0.656336,0.615377
1647,1.335974,1.460954,MGC,0.476883,0.583270,0.637103,0.852130
1649,1.392520,1.470318,MGC,0.559438,0.498058,0.779028,0.732304
1650,1.250545,1.344667,MGC,0.923735,0.711374,1.155172,0.956561
1651,1.603065,1.621932,MGC,0.381995,0.418988,0.612363,0.679571
1653,1.245144,1.297246,MGC,0.551931,0.635602,0.687233,0.824532
1656,1.297556,1.557135,MGC,0.600012,0.404778,0.778549,0.630294
1657,1.152161,1.146129,HWC,0.830346,1.081653,0.956692,1.239713
166,1.343610,1.376325,MGC,0.639294,0.585850,0.858962,0.806321
1660,1.254208,1.328970,MGC,0.560309,0.562350,0.702744,0.747347
1663,1.240502,1.553544,MGC,0.780074,0.494558,0.967684,0.768317
1664,1.185478,1.245284,MGC,0.983594,0.794371,1.166029,0.989217
