line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1114,human,0,128,0,1.325312,0.535687,0.709952
1114,human,1,128,0,1.373359,0.683230,0.938320
1114,human,2,121,0,1.310680,1.022148,1.339709
1114,lm,0,6,1,nan,nan,nan
1117,human,0,128,0,1.341488,0.728393,0.977131
1117,human,1,128,0,1.381090,0.932272,1.287552
1117,human,2,128,0,1.157211,1.762957,2.040114
1117,human,3,14,0,1.393909,1.290977,1.799504
1117,lm,0,128,0,1.720051,0.193020,0.332005
1117,lm,1,27,0,1.435520,1.400554,2.010523
1120,human,0,128,0,1.200189,1.171385,1.405884
1120,human,1,128,0,1.239733,1.029732,1.276593
1120,human,2,76,0,1.234791,0.908704,1.122059
1120,lm,0,128,0,1.657591,0.396254,0.656827
1120,lm,1,23,0,1.198098,1.310660,1.570298
1123,human,0,120,0,1.454680,0.518941,0.754894
1123,lm,0,45,0,1.422362,0.650584,0.925366
1124,human,0,100,0,1.170078,1.374746,1.608560
1124,lm,0,10,0,1.219708,2.870228,3.500840
1125,human,0,106,0,1.430831,0.874796,1.251685
1125,lm,0,38,0,1.448516,1.230541,1.782459
1126,human,0,29,0,1.271906,0.895541,1.139044
1126,lm,0,13,0,1.163155,1.011039,1.175996
1129,human,0,33,0,1.723460,0.643996,1.109900
1129,lm,0,33,0,1.172408,1.006060,1.179513
113,human,0,32,0,1.314665,0.859465,1.129908
113,lm,0,36,0,1.735075,0.496588,0.861617
1130,human,0,61,0,1.335428,0.807728,1.078662
1130,lm,0,18,0,1.462393,0.774211,1.132201
1132,human,0,48,0,1.214365,1.018940,1.237366
1132,lm,0,19,0,1.229252,0.928835,1.141772
1133,human,0,27,0,1.198287,1.270430,1.522341
1133,lm,0,7,1,nan,nan,nan
1138,human,0,82,0,1.416917,0.801811,1.136099
1138,lm,0,128,0,2.021836,0.118617,0.239824
1138,lm,1,51,0,1.700094,0.237014,0.402946
1139,human,0,64,0,1.375683,0.725166,0.997599
1139,lm,0,66,0,2.067326,0.251399,0.519724
1141,human,0,128,0,1.453183,0.471143,0.684657
1141,human,1,13,0,1.200863,1.484608,1.782811
1141,lm,0,128,0,1.649228,0.399324,0.658577
1141,lm,1,60,0,1.551805,0.838728,1.301542
1142,human,0,32,0,1.210126,0.841854,1.018750
1142,lm,0,21,0,1.235142,1.233944,1.524096
1143,human,0,128,0,1.653785,0.422602,0.698893
1143,human,1,11,0,1.064763,2.348307,2.500392
1143,lm,0,35,0,1.458949,0.652085,0.951358
1144,human,0,12,0,1.090443,1.703108,1.857142
1144,lm,0,38,0,1.554779,0.800965,1.245323
1145,human,0,128,0,1.240543,0.948678,1.176876
1145,human,1,7,1,nan,nan,nan
1145,lm,0,128,0,1.429151,0.763200,1.090729
1145,lm,1,128,0,1.505070,0.703369,1.058620
1145,lm,2,128,0,1.560736,0.717702,1.120143
1145,lm,3,16,0,1.142309,1.888440,2.157183
1146,human,0,102,0,1.589507,0.563120,0.895083
1146,lm,0,57,0,1.792178,0.347521,0.622819
1147,human,0,48,0,1.203024,1.272442,1.530778
1147,lm,0,20,0,1.220975,1.222806,1.493016
